family,label,api_pair_name,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,20.488861,2.176577,9.413341
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,74.78298,7.8099,9.575408
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,34.634586,20.102377,1.72291
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,33.31345,19.718787,1.689427
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,23.168923,18.697839,1.239123
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,11.433395,10.8898,1.049918
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,6.523101,2.29147,2.846688
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,14.587397,9.724275,1.500101
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,16.129496,9.66747,1.66843
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,25.581329,20.04726,1.276051
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,22.19073,19.928259,1.113531
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,9.39058,9.220736,1.01842
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,16.512446,14.264146,1.157619
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,47.75119,46.33791,1.030499
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,18.781999,21.194472,0.886174
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,20.538678,17.64828,1.163778
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,6.462193,6.30128,1.025536
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,5.983343,5.986184,0.999525
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,30.054021,19.484949,1.542422
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,19.109734,19.272289,0.991565
